Clutch,Replicate,Male,Female,Population,Tank,Mass,Dry_mass,Chamber,System,Volume,Date_tested,Date_analysed,Swim,Salinity,Temperature,Resting_kg_wet,Resting,rsqrest,Max_kg_wet,Max,rsqmax,AAS_kg_wet,AAS,Notes,True_resting
111,8,CVLA468,CVLA477,Vlassof Cay,321,0.0004815,0.0004691,ch1,Asus,0.04565,23/05/2023,19888,good/good,36,27,312.3739448,0.150408054,0.9774,894.020864,0.430471046,0.99448056,581.6469191,0.280062992,NA,Y
111,7,CVLA468,CVLA477,Vlassof Cay,321,0.0005121,0.000486,ch2,Asus,0.04573,23/05/2023,19888,good/good,36,27,404.8070897,0.207301711,0.9752,1031.841342,0.528405951,0.989325839,627.034252,0.32110424,NA,Y
111,5,CVLA468,CVLA477,Vlassof Cay,321,0.0005521,0.0005062,ch4,Asus,0.04791,23/05/2023,19888,good/good,36,27,356.4800746,0.196812649,0.9774,841.5321773,0.464609915,0.991751554,485.0521027,0.267797266,NA,Y
132,8,CVLA468,CVLA477,Vlassof reef,129,0.0006201,0.0005907,ch1,Asus,0.04565,30/06/2023,19951,good/good,35,27,334.7271769,0.207564322,0.977,788.6961904,0.489070508,0.994294734,453.9690135,0.281506185,NA,Y
132,2,CVLA468,CVLA477,Vlassof reef,129,0.000644,0.0005982,ch3,Dell7440,0.04977,30/06/2023,19951,good/good,35,27,435.100399,0.280204657,0.9952,973.8341353,0.627149183,0.996991114,538.7337363,0.346944526,NA,Y
132,7,CVLA468,CVLA477,Vlassof reef,129,0.0006482,0.0006139,ch2,Asus,0.04573,30/06/2023,19951,good/good,35,27,192.4802534,0.1247657,0.969,847.3174761,0.549231188,0.998394074,654.8372227,0.424465488,NA,Y
132,4,CVLA468,CVLA477,Vlassof reef,129,0.0007394,0.0007052,ch1,Dell7440,0.0465,30/06/2023,19951,good/good,35,27,472.9678237,0.349712409,0.9892,NA,NA,NA,NA,NA,NA,Y
132,5,CVLA468,CVLA477,Vlassof reef,129,0.0008452,0.000819,ch4,Asus,0.04791,30/06/2023,19951,good/good,35,27,757.2570297,0.640033641,0.9978,1963.34884,1.659422439,0.994647595,1206.09181,1.019388798,NA,Y
132,3,CVLA468,CVLA477,Vlassof reef,129,0.0009007,0.000842,ch2,Dell7440,0.04593,30/06/2023,19951,good/good,35,27,NA,NA,NA,771.8846715,0.695236524,0.993973308,NA,NA,NA,N
129,2,CVLA486,CVLA463,Vlassof,216,0.0005405,0.0004976,ch3,Dell7440,0.04977,28/06/2023,19951,good/good,36,27,264.4468942,0.142933546,0.9822,810.8180615,0.438247162,0.99535748,546.3711673,0.295313616,NA,Y
129,3,CVLA486,CVLA463,Vlassof,216,0.0006386,0.000609,ch2,Dell7440,0.04593,28/06/2023,19951,good/good,36,27,444.1947988,0.283662799,0.9936,NA,NA,NA,NA,NA,NA,Y
129,6,CVLA486,CVLA463,Vlassof,216,0.0006426,0.0006213,ch3,Asus,0.04551,28/06/2023,19951,good/good,36,27,285.1313141,0.183225382,0.9876,NA,NA,NA,NA,NA,NA,Y
129,5,CVLA486,CVLA463,Vlassof,216,0.0006779,0.0006371,ch4,Asus,0.04791,28/06/2023,19951,good/good,36,27,301.0370025,0.204072984,0.9846,NA,NA,NA,NA,NA,NA,Y
129,8,CVLA486,CVLA463,Vlassof,216,0.0007104,0.0006439,ch1,Asus,0.04565,28/06/2023,19951,good/good,36,27,367.1625759,0.260832294,0.9954,1254.250325,0.891019431,0.986859214,887.0877496,0.630187137,NA,Y
129,1,CVLA486,CVLA463,Vlassof,216,0.0007269,0.0006828,ch4,Dell7440,0.0486,28/06/2023,19951,good/good,36,27,284.7125416,0.206957547,0.9838,835.8691522,0.607593287,0.996456069,551.1566106,0.40063574,NA,Y
129,7,CVLA486,CVLA463,Vlassof,216,0.0007666,0.000722,ch2,Asus,0.04573,28/06/2023,19951,good/good,36,27,302.9468184,0.232239031,0.9878,761.750419,0.583957871,0.993705222,458.8036006,0.35171884,NA,Y
117,4,CVLA498,CVLA493,Vlassof Cay,273,0.0003842,0.0003466,ch1,Dell,0.0465,28/05/2023,19887,good/good,36,30,482.06988,0.185211248,0.992,1590.94329,0.611240412,0.982045136,1108.87341,0.426029164,NA,Y
117,6,CVLA498,CVLA493,Vlassof Cay,273,0.0003953,0.0003632,ch3,Asus,0.04551,28/05/2023,19887,good/good,36,30,482.5085293,0.190735622,0.9888,1819.479711,0.71924033,0.985835496,1336.971182,0.528504708,NA,Y
117,7,CVLA498,CVLA493,Vlassof Cay,273,0.0004676,0.0004353,ch2,Asus,0.04573,28/05/2023,19887,good/good,36,30,586.5404705,0.274266324,0.975,1962.207113,0.917528046,0.998032944,1375.666643,0.643261722,NA,Y
117,3,CVLA498,CVLA493,Vlassof Cay,273,0.0005162,0.0004493,ch2,Dell,0.04593,28/05/2023,19887,good/good,36,30,441.0727248,0.227681741,0.9928,990.8682395,0.511486185,0.994484712,549.7955147,0.283804445,NA,Y
117,1,CVLA498,CVLA493,Vlassof Cay,273,0.0005585,0.0005086,ch4,Dell,0.0486,28/05/2023,19887,good/good,36,30,336.7958919,0.188100506,0.9864,1260.280656,0.703866746,0.991351719,923.4847642,0.515766241,Is this max?,Y
117,5,CVLA498,CVLA493,Vlassof Cay,273,0.0005868,0.0005437,ch4,Asus,0.04791,28/05/2023,19887,good/good,36,30,409.1672842,0.240099362,0.9884,900.4264069,0.528370216,0.963997204,491.2591226,0.288270853,NA,Y
